Name,Symbol,Price,24h Change,24h Volume
Bitcoin,btc,63173,-0.79996,74055876723
Ethereum,eth,3234.31,-0.90487,37307260909
Tether,usdt,1,-0.54957,118305296578
BNB,bnb,528.29,3.23484,4591920479
Solana,sol,172.69,-2.37348,10343040288
XRP,xrp,0.596299,1.92895,2695926008
Lido Staked Ether,steth,3228.19,-0.95217,310446193
USDC,usdc,1.005,0.38054,14409644158
Cardano,ada,0.606701,-0.33134,1023301650
Avalanche,avax,53.22,-6.46911,2654997531
Dogecoin,doge,0.133591,4.06906,3074682413
Shiba Inu,shib,0.00002527,1.08473,1878595757
Toncoin,ton,3.98,6.44601,168228330
Polkadot,dot,9.12,2.20201,540410906
TRON,trx,0.115688,-3.84115,936964518
Chainlink,link,17.22,1.90167,994674142
Wrapped Bitcoin,wbtc,63104,0.00166,575917594
Polygon,matic,0.969045,3.9267,750123108
Uniswap,uni,11.04,3.9283,282262709
Bitcoin Cash,bch,366.71,0.17593,571014568
NEAR Protocol,near,6.43,-2.00013,858992442
Litecoin,ltc,81.56,2.89121,821011643
Aptos,apt,15.13,3.19876,849482759
LEO Token,leo,6.1,1.14583,4968137
Internet Computer,icp,11.33,2.04932,203669148
Dai,dai,0.999195,-0.4057,647376759
Cosmos Hub,atom,11.28,3.34002,403292799
Arbitrum,arb,1.66,11.73008,1193466655
Filecoin,fil,8.17,-0.30926,481074926
Stacks,stx,2.94,12.37198,302072057
Render,rndr,11.06,3.69921,643775283
Ethereum Classic,etc,28.51,1.53284,325861762
Bittensor,tao,637.25,0.85746,23257299
Immutable,imx,2.64,1.93172,123958855
Stellar,xlm,0.125036,2.21696,201808878
Hedera,hbar,0.105957,5.01518,122220441
The Graph,grt,0.375694,2.15451,261221657
Optimism,op,3.44,12.11979,645474718
OKB,okb,57,-2.55665,25099244
Cronos,cro,0.124438,2.39988,36204503
Injective,inj,36.81,4.45048,279202126
Pepe,pepe,0.0000071,12.8733,1620239926
VeChain,vet,0.03922839,4.03699,136693947
Kaspa,kas,0.122258,1.58665,88562826
First Digital USD,fdusd,1.001,0.33402,16861233542
Fantom,ftm,0.972809,14.84552,1586773918
Maker,mkr,2882.19,2.59853,239388395
Fetch.ai,fet,2.55,14.64724,777993627
Mantle,mnt,0.80492,3.0929,449472921
Theta Network,theta,2.59,-1.66771,112060024
Monero,xmr,136.6,3.44932,47518010
Celestia,tia,13.61,8.13512,365484992
THORChain,rune,7.72,4.08117,840579275
dogwifhat,wif,2.23,-1.40774,611848521
Sei,sei,0.81815,5.89889,239361261
Lido DAO,ldo,2.42,4.89287,118856095
Arweave,ar,32.67,8.14819,105127192
GALA,gala,0.055409,7.67524,280093347
Sui,sui,1.58,0.82614,831709895
Rocket Pool ETH,reth,3561.31,-0.7795,31605333
Algorand,algo,0.234108,4.22851,136073665
Flow,flow,1.22,4.02335,85769538
FLOKI,floki,0.00018024,7.826,462447780
Mantle Staked Ether,meth,3300.7,-1.39307,7949413
Aave,aave,112.52,1.58716,201025182
Quant,qnt,113.29,-0.88462,48791498
Beam,beam,0.03103637,5.27405,55969669
Jupiter,jup,1.19,-0.33457,421905879
MultiversX,egld,57.46,3.76082,50747048
dYdX,dydx,3.25,6.67214,19725183
Bonk,bonk,0.00002239,10.83565,260637677
Conflux,cfx,0.379582,3.54686,165278058
Starknet,strk,1.98,9.6761,334400665
Bitcoin SV,bsv,73.36,-0.55128,46546095
Pyth Network,pyth,0.911466,4.26563,200501337
Axie Infinity,axs,9.48,3.22638,101898390
The Sandbox,sand,0.589182,4.88589,225936848
SingularityNET,agix,1.029,9.75473,333316990
KuCoin,kcs,13.59,6.51676,488611
Wrapped eETH,weeth,3313.92,-0.90569,47816619
ether.fi Staked ETH,eeth,3206.73,0.20673,660974
ORDI,ordi,59.7,4.07815,309760266
BitTorrent,btt,0.00000129,1.21314,100144152
Ribbon Finance,rbn,1.3,0.24745,18741308
Bitget Token,bgb,0.877918,1.48727,43056941
Mina Protocol,mina,1.14,1.47224,65101395
Akash Network,akt,5.28,-0.85157,16943581
Worldcoin,wld,7.79,1.63719,505903928
Synthetix Network,snx,3.68,2.8251,54145166
Ethena USDe,usde,1.004,0.22921,62008859
Flare,flr,0.03153457,8.64601,29520695
WhiteBIT Coin,wbt,7.94,-0.18448,16222116
Tokenize Xchange,tkx,14.26,-4.04761,48514135
Tezos,xtz,1.16,1.55715,66247880
ApeCoin,ape,1.82,2.15503,157276524
Chiliz,chz,0.123649,3.45456,109377834
Decentraland,mana,0.588084,4.96224,158812108
EOS,eos,0.937752,3.17115,300700721
Marinade staked SOL,msol,201.48,-3.44781,18150911
0x Protocol,zrx,1.26,9.71704,118987491
